id;ticket;open_time;direction_type;position_size;symbol;open_price;stop_loss_price;take_profit_price;close_time;close_price;commission;taxes;swap;profit
1;29039;2022-07-05T03:52:40;BUY;33701;yellow Oklahoma Fall;71678;31072;39258;2022-07-05T18:06:47;35245;31476;42282;49609;23995
2;79446;2022-07-05T21:12:50;BUY;17800;Chief Pants yellow;99833;82194;65074;2022-07-05T23:29:34;48480;26098;46753;13865;79861
3;66580;2022-07-05T02:51:06;BUY;62044;Bridge ADP;35723;44561;41407;2022-07-05T20:05:47;94555;15033;48985;25912;37703
4;4006;2022-07-05T13:58:49;BUY;31485;visionary redefine Village;34694;91076;25737;2022-07-05T17:40:11;35451;16919;87349;227;5895
5;92211;2022-07-05T03:38:13;SELL;28776;withdrawal Kuwaiti Small;19348;56742;77524;2022-07-05T00:29:10;14634;261;94476;97908;74421
6;83592;2022-07-05T02:38:51;SELL;83988;copy;67476;85974;66028;2022-07-05T14:34:41;40075;90235;59923;26905;56745
7;30878;2022-07-05T13:10:52;BUY;75169;engineer Distributed feed;18810;61729;13477;2022-07-05T04:12:10;15496;97919;29670;72462;53933
8;22891;2022-07-05T11:57:34;SELL;76335;monetize Dollar Virtual;47901;10343;47011;2022-07-05T19:29:09;41656;49754;13885;28952;95876
9;23699;2022-07-05T20:14:14;SELL;65538;bifurcated;5332;7945;42337;2022-07-05T02:11:05;12332;63441;38431;7707;82039
10;48251;2022-07-05T23:42:48;BUY;10968;haptic hard;32105;85076;42000;2022-07-05T20:43:50;38666;35273;27109;33365;42371
