id;trade_challenge_name;start_date;account_day_start_balance;account_day_start_equity;running_max_total_drawdown;running_max_daily_drawdown;lowest_drawdown_point;rules_violated;rule_violated;rule_violated_date
1;Licensed Rustic capacitor;2022-07-05T21:28:00;73449;39658;88655;51173;7234;true;Jersey Home Factors;2022-07-05T10:56:21
2;generating;2022-07-05T08:33:54;13576;37419;77137;17842;99908;true;Bedfordshire;2022-07-05T21:09:57
3;Down-sized Lebanese;2022-07-05T07:18:48;95657;92903;44203;75338;28568;false;bypassing reintermediate Common;2022-07-05T03:49:40
4;copy SMTP generation;2022-07-05T05:40:15;89276;27514;69748;78950;7166;false;Corporate;2022-07-05T01:47:03
5;Assistant Pataca;2022-07-05T11:21:06;18184;30274;86343;43878;81990;false;connect;2022-07-05T14:39:58
6;circuit functionalities payment;2022-07-05T01:02:35;48800;99507;18558;71961;90400;true;e-commerce Cotton Practical;2022-07-05T14:24:04
7;Future;2022-07-05T18:55:34;38092;59976;87493;38994;27362;false;deposit eyeballs;2022-07-05T02:10:20
8;compressing;2022-07-05T04:37:28;92222;36957;99288;65212;75625;false;Missouri Concrete;2022-07-05T00:32:25
9;Technician;2022-07-05T02:49:40;7461;44124;71577;24964;37042;true;indexing context-sensitive;2022-07-05T07:03:08
10;generate Iceland;2022-07-04T23:23:01;81856;35527;11836;28069;52766;true;SAS;2022-07-05T20:49:21
