id;trade_challenge_name;start_date;account_day_start_balance;account_day_start_equity;running_max_total_drawdown;running_max_daily_drawdown;lowest_drawdown_point;rules_violated;rule_violated;rule_violated_date
1;end-to-end;2022-07-05T19:23:27;73345;27192;10515;21170;72845;false;Coordinator seize Soap;2022-07-05T18:30:52
2;hacking Pizza;2022-07-05T13:32:56;52027;77259;84759;81007;63010;false;synthesizing;2022-07-05T14:56:45
3;indigo withdrawal;2022-07-05T06:45:18;26012;2913;42350;29279;2520;true;territory SAS Sum;2022-07-05T00:04:51
4;virtual Factors Soap;2022-07-05T05:43:07;406;35116;74781;96961;76326;true;Dynamic programming;2022-07-05T01:07:06
5;Maine olive Plastic;2022-07-05T12:56:06;37770;73728;76849;52261;73658;false;array Granite Senior;2022-07-05T11:10:02
6;Account Brand Shirt;2022-07-05T09:07:44;43131;73383;92882;88193;16203;false;Wisconsin;2022-07-05T07:37:48
7;Human Jersey;2022-07-05T12:39:04;23788;28532;50258;3742;62516;true;Alaska;2022-07-05T07:46:03
8;impactful Turkish envisioneer;2022-07-05T20:53:19;67106;84926;94876;8706;62745;false;withdrawal withdrawal;2022-07-05T07:42:28
9;and Central Implementation;2022-07-05T21:42:17;23027;98451;32559;62595;65972;true;Account Cotton;2022-07-05T02:43:05
10;Exclusive payment;2022-07-05T05:17:28;13650;2748;44298;76466;3361;true;XML Vatu;2022-07-05T12:55:00
