id;comment_title;comment_body;comment_media;comment_media_content_type;date_added;make_public_visible_on_site
1;Leone Plastic interfaces;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2022-07-05T13:08:49;true
2;Borders International Orchestrator;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2022-07-05T20:40:31;true
3;Concrete;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2022-07-05T19:09:51;true
4;SCSI Wisconsin;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2022-07-05T23:53:49;true
5;Station best-of-breed methodical;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2022-07-05T23:14:53;true
6;models;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2022-07-05T17:36:23;false
7;Berkshire Up-sized Designer;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2022-07-05T23:08:18;true
8;unleash Flat;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2022-07-05T15:41:54;true
9;digital scalable mesh;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2022-07-05T00:56:09;false
10;Electronics Investment Consultant;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2022-07-05T17:39:35;false
